         25700 function calls (25566 primitive calls) in 0.041 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    58/50    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\matching.py:516(assignLabel)
       25    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\reportviews.py:907(__init__)
        4    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\graph.py:566(add_nodes_from)
        3    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\reportviews.py:762(__init__)
        6    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\matching.py:854(augmentMatching)
        2    0.001    0.000    0.006    0.003 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\graph.py:968(add_edges_from)
        2    0.000    0.000    0.001    0.001 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\multigraph.py:526(add_edges_from)
       21    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\reportviews.py:608(__iter__)
        1    0.000    0.000    0.003    0.003 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\convert.py:34(to_networkx_graph)
        6    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\matching.py:795(_recurse)
        4    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\matching.py:578(addBlossom)
       20    0.002    0.000    0.003    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\algorithms\tree\mst.py:142(kruskal_mst_edges)
        1    0.000    0.000    0.041    0.041 c:\Users\x_mat\Documents\GitHub\travelling-merchant\christofides.py:33(christofides)
    80/51    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\utils\decorators.py:1170(_flatten)
       11    0.000    0.000    0.009    0.001 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\utils\decorators.py:720(_lazy_compile)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\utils\decorators.py:251(_nodes_or_number)
       39    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\utils\decorators.py:854(_name)
       51    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\utils\decorators.py:1200(_indent)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\utils\union_find.py:31(__init__)
       11    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       38    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\utils\union_find.py:96(<lambda>)
        6    0.000    0.000    0.003    0.001 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\graph.py:332(__init__)
        6    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\utils\decorators.py:88(_not_implemented_for)
        3    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\classes\reportviews.py:419(__init__)
       27    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\networkx\utils\misc.py:146(arbitrary_element)
