         13060031 function calls (13036035 primitive calls) in 22.732 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:358(__init__)
        5    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\ma\core.py:2808(__new__)
  296/275    0.001    0.000    0.005    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\contextlib.py:141(__exit__)
     1527    0.010    0.000    0.013    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_dtype.py:346(_name_get)
      112    0.001    0.000    0.002    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:71(_wrapreduction)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\cast.py:1763(np_can_hold_element)
       22    0.001    0.000    0.004    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:2249(isclose)
       44    0.000    0.000    0.001    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_ufunc_config.py:33(seterr)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_internal.py:250(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\lib\arraysetops.py:373(intersect1d)
        1    0.000    0.000    0.000    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\function_base.py:24(linspace)
       16    0.000    0.000    0.002    0.000 C:\Users\x_mat\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\lib\function_base.py:2337(_call_as_normal)
